Location Code,Address,LAT,LONG
H-358,11 Cohawney Rd Scarsdale NY 10583,41.00646591,-73.79115295
H-359,6 Claremont Rd Scarsdale NY 10583,41.01660156,-73.78574371
H-360,20 Cohawney Rd Scarsdale NY 10583,41.00547028,-73.79008484
H-361,13 Cohawney Rd Scarsdale NY 10583,41.00630569,-73.79075623
H-362,25 Cohawney Rd Scarsdale NY 10583,41.00559235,-73.78903961
H-363,18 Cohawney Rd Scarsdale NY 10583,41.00563812,-73.7904892
H-364,23 Cohawney Rd Scarsdale NY 10583,41.00570297,-73.78931427
H-365,30 Cohawney Rd Scarsdale NY 10583,41.004673,-73.78827667
H-366,31 Cohawney Rd Scarsdale NY 10583,41.00518417,-73.78804779
H-367,33 Cohawney Rd Scarsdale NY 10583,41.00507355,-73.78777313
H-368,3 Cohawney Rd Scarsdale NY 10583,41.00700378,-73.79243469
